Model Name,Attack Type,Norm,c,Accuracy,Precision,Recall,F1 Score
AD_model_CW_0.4.h5,CW,L2,[0.3],0.966,0.9678172262013013,0.966,0.9660602974419628
DD_model_T20.h5,CW,L2,[0.3],0.246,0.3853185291496668,0.246,0.19283574917863233
AD_model_PGD_0.2.h5,CW,L2,[0.3],0.094,0.035433734939759036,0.094,0.017812225448589087
AD_model_CW_0.3.h5,CW,L2,[0.3],0.984,0.9845388000321468,0.984,0.9840051715522857
DD_model_T30.h5,CW,L2,[0.3],0.16,0.4001375743722621,0.16,0.11370697486772162
DD_model_T50.h5,CW,L2,[0.3],0.093,0.008648999999999999,0.093,0.01582616651418115
AD_model_CW_0.2.h5,CW,L2,[0.3],0.975,0.9756071409264964,0.975,0.9750276773185775
AD_model_PGD_0.4.h5,CW,L2,[0.3],0.106,0.12403186022610484,0.106,0.039589335726133185
DD_model_T5.h5,CW,L2,[0.3],0.124,0.015375999999999999,0.124,0.027359430604982207
DD_model_T10.h5,CW,L2,[0.3],0.097,0.009409,0.097,0.01715405651777575
DD_model_T40.h5,CW,L2,[0.3],0.155,0.05202634222146418,0.155,0.06991579214452451
AD_model_PGD_0.3.h5,CW,L2,[0.3],0.161,0.3779251867530564,0.161,0.10570703076935595
ADM_model_extended_split_0.3.h5,CW,L2,[0.3],0.962,1.0,0.962,0.980632008154944
ADM_model_extended_split_0.4.h5,CW,L2,[0.3],0.364,1.0,0.364,0.533724340175953
ADM_model_extended_split_1.h5,CW,L2,[0.3],0.444,1.0,0.444,0.6149584487534626
ADM_model_extended_split_0.2.h5,CW,L2,[0.3],0.021,1.0,0.021,0.04113614103819784
ADM_model_extended_split_0.5.h5,CW,L2,[0.3],1.0,1.0,1.0,1.0
