Model Name,Attack Type,Norm,c,Accuracy,Precision,Recall,F1 Score
AD_model_CW_0.4.h5,FGSM,Linf,[0.05],0.967,0.9696278623270956,0.967,0.9674257123942803
DD_model_T20.h5,FGSM,Linf,[0.05],0.961,0.9640270846943135,0.961,0.9609527753091186
AD_model_PGD_0.2.h5,FGSM,Linf,[0.05],0.976,0.9762734516213271,0.976,0.9759869900762926
AD_model_CW_0.3.h5,FGSM,Linf,[0.05],0.984,0.9843835191188445,0.984,0.984025807316615
DD_model_T30.h5,FGSM,Linf,[0.05],0.949,0.9543050001681265,0.949,0.9488451840454818
DD_model_T50.h5,FGSM,Linf,[0.05],0.586,0.8464931249631423,0.586,0.5796714578378362
AD_model_CW_0.2.h5,FGSM,Linf,[0.05],0.967,0.9691578453321789,0.967,0.9671791272021658
AD_model_PGD_0.4.h5,FGSM,Linf,[0.05],0.98,0.9805039412798225,0.98,0.9800262231842605
DD_model_T5.h5,FGSM,Linf,[0.05],0.859,0.9096665524789663,0.859,0.867813616055736
DD_model_T10.h5,FGSM,Linf,[0.05],0.932,0.9408636238892474,0.932,0.9296853847619622
DD_model_T40.h5,FGSM,Linf,[0.05],0.703,0.8868761583673844,0.703,0.7091054132175872
AD_model_PGD_0.3.h5,FGSM,Linf,[0.05],0.97,0.9718867479419395,0.97,0.9702543879788343
ADM_model_extended_split_0.3.h5,FGSM,Linf,[0.005],0.543,1.0,0.543,0.7038237200259235
ADM_model_extended_split_0.4.h5,FGSM,Linf,[0.005],0.738,1.0,0.738,0.8492520138089759
ADM_model_extended_split_1.h5,FGSM,Linf,[0.005],0.703,1.0,0.703,0.8256018790369936
ADM_model_extended_split_0.2.h5,FGSM,Linf,[0.005],0.232,1.0,0.232,0.37662337662337664
ADM_model_extended_split_0.5.h5,FGSM,Linf,[0.005],0.488,1.0,0.488,0.6559139784946236
