Model Name,Accuracy,Precision,Recall,F1 Score
AD_model_CW_0.4.h5,0.978,0.9790129721604489,0.978,0.9781019666683536
DD_model_T20.h5,0.985,0.985254148798107,0.985,0.9850046634085395
AD_model_PGD_0.2.h5,0.985,0.9851737347632255,0.985,0.9849971817409997
AD_model_CW_0.3.h5,0.989,0.9892026607484913,0.989,0.9889976396218519
DD_model_T30.h5,0.986,0.9861906992756617,0.986,0.9860151529098504
DD_model_T50.h5,0.998,0.9980183092783504,0.998,0.9979993107927594
AD_model_CW_0.2.h5,0.981,0.9816363834463078,0.981,0.9810931720532641
AD_model_PGD_0.4.h5,0.986,0.9863878594497792,0.986,0.9860353929485305
DD_model_T5.h5,0.989,0.9891020560968535,0.989,0.9889871028790085
DD_model_T10.h5,0.981,0.9814757675904244,0.981,0.9810399910956571
DD_model_T40.h5,0.998,0.9980209475762228,0.998,0.9979999765574223
AD_model_PGD_0.3.h5,0.985,0.985384900786064,0.985,0.9850061523452817
ADM_model_extended_split_0.3.h5,1.0,1.0,1.0,1.0
ADM_model_extended_split_0.4.h5,1.0,1.0,1.0,1.0
ADM_model_extended_split_1.h5,1.0,1.0,1.0,1.0
ADM_model_extended_split_0.2.h5,1.0,1.0,1.0,1.0
ADM_model_extended_split_0.5.h5,1.0,1.0,1.0,1.0
