Model Name,Attack Type,Norm,c,Accuracy,Precision,Recall,F1 Score
AD_model_CW_0.4.h5,PGD,L2,[0.1],0.97,0.9720559290382319,0.97,0.9702685733566687
DD_model_T20.h5,PGD,L2,[0.1],0.977,0.9774731595266462,0.977,0.9770053776489029
AD_model_PGD_0.2.h5,PGD,L2,[0.1],0.982,0.982232680735487,0.982,0.982001384618044
AD_model_CW_0.3.h5,PGD,L2,[0.1],0.988,0.988235149998372,0.988,0.9879872127579294
DD_model_T30.h5,PGD,L2,[0.1],0.983,0.98320956720019,0.983,0.9829877664892654
DD_model_T50.h5,PGD,L2,[0.1],0.846,0.8798430732848944,0.846,0.8216210032940207
AD_model_CW_0.2.h5,PGD,L2,[0.1],0.974,0.9752468154537639,0.974,0.9741429772186988
AD_model_PGD_0.4.h5,PGD,L2,[0.1],0.98,0.9804224845534891,0.98,0.9800011808608239
DD_model_T5.h5,PGD,L2,[0.1],0.967,0.9688239003431603,0.967,0.9671355416885246
DD_model_T10.h5,PGD,L2,[0.1],0.975,0.9755499987633057,0.975,0.9750206311596326
DD_model_T40.h5,PGD,L2,[0.1],0.928,0.9399949384270474,0.928,0.9252995783525082
AD_model_PGD_0.3.h5,PGD,L2,[0.1],0.979,0.979724576674464,0.979,0.9790481933692982
ADM_model_extended_split_0.3.h5,PGD,L2,[0.1],0.691,1.0,0.691,0.8172678888231816
ADM_model_extended_split_0.4.h5,PGD,L2,[0.1],0.419,1.0,0.419,0.5905567300916138
ADM_model_extended_split_1.h5,PGD,L2,[0.1],0.411,1.0,0.411,0.5825655563430191
ADM_model_extended_split_0.2.h5,PGD,L2,[0.1],0.353,1.0,0.353,0.5218033998521804
ADM_model_extended_split_0.5.h5,PGD,L2,[0.1],0.633,1.0,0.633,0.775260257195346
